id,movieinfo_id,actor_id
11022,1934,2198
11023,1934,471
11024,1934,624
11025,1934,2167
11026,1934,934
11027,1934,2199
11028,1935,273
11029,1935,371
11030,1935,784
11031,1935,2200
11032,1935,566
11033,1935,33
11034,1936,1031
11035,1936,311
11036,1936,222
11037,1936,1759
11038,1936,445
11039,1936,1169
11040,1937,83
11041,1937,528
11042,1937,128
11043,1937,867
11044,1937,2154
11045,1937,692
11046,1938,203
11047,1938,278
11048,1938,128
11049,1938,35
11050,1938,1922
11051,1938,10
11052,1939,394
11053,1939,61
11054,1939,417
11055,1939,558
11056,1939,426
11057,1939,1147
11058,1940,200
11059,1940,528
11060,1940,5
11061,1940,124
11062,1940,33
11063,1940,471
11064,1941,249
11065,1941,603
11066,1941,2170
11067,1941,44
11068,1941,80
11069,1941,2201
11070,1942,43
11071,1942,59
11072,1942,186
11073,1942,774
11074,1942,53
11075,1942,1749
11076,1943,1
11077,1943,8
11078,1943,12
11079,1943,80
11080,1943,519
11081,1943,31
11082,1944,2202
11083,1944,1689
11084,1944,642
11085,1944,2203
11086,1944,5
11087,1944,867
11088,1945,235
11089,1945,2200
11090,1945,832
11091,1945,2204
11092,1945,2205
11093,1945,2206
11094,1946,300
11095,1946,123
11096,1946,7
11097,1946,315
11098,1946,105
11099,1946,201
11100,1947,1211
11101,1947,123
11102,1947,58
11103,1947,107
11104,1947,774
11105,1947,2207
11106,1948,131
11107,1948,494
11108,1948,128
11109,1948,558
11110,1948,624
11111,1948,478
11112,1949,428
11113,1949,123
11114,1949,50
11115,1949,44
11116,1949,1983
11117,1949,1916
11118,1950,428
11119,1950,1692
11120,1950,259
11121,1950,2208
11122,1950,633
11123,1950,140
11124,1951,1647
11125,1951,2209
11126,1951,628
11127,1951,80
11128,1951,2210
11129,1951,603
11130,1952,561
11131,1952,2211
11132,1952,1362
11133,1952,539
11134,1952,628
11135,1952,40
11136,1953,62
11137,1953,53
11138,1953,65
11139,1953,15
11140,1953,424
11141,1953,185
11142,1954,142
11143,1954,26
11144,1954,266
11145,1954,774
11146,1954,692
11147,1955,244
11148,1955,235
11149,1955,628
11150,1955,2212
11151,1955,934
11152,1956,27
11153,1956,317
11154,1956,82
11155,1956,55
11156,1956,235
11157,1956,294
11158,1957,135
11159,1957,1940
11160,1957,2041
11161,1957,99
11162,1957,2213
11163,1958,257
11164,1958,605
11165,1958,1954
11166,1958,449
11167,1958,681
11168,1958,393
11169,1959,297
11170,1959,2214
11171,1959,31
11172,1959,5
11173,1959,49
11174,1959,496
11175,1960,839
11176,1960,88
11177,1960,203
11178,1960,248
11179,1960,50
11180,1960,1901
11181,1961,577
11182,1961,315
11183,1961,2205
11184,1961,5
11185,1961,683
11186,1962,428
11187,1962,257
11188,1962,2215
11189,1962,53
11190,1962,799
11191,1962,266
11192,1963,475
11193,1963,2216
11194,1963,478
11195,1963,439
11196,1963,80
11197,1963,576
11198,1964,26
11199,1964,105
11200,1964,577
11201,1964,48
11202,1964,124
11203,1964,51
11204,1965,471
11205,1965,535
11206,1965,124
11207,1965,127
11208,1965,2154
11209,1965,246
11210,1966,80
11211,1966,535
11212,1966,132
11213,1966,610
11214,1966,2217
11215,1966,2218
11216,1967,22
11217,1967,8
11218,1967,317
11219,1967,487
11220,1967,306
11221,1967,2219
11222,1968,43
11223,1968,57
11224,1968,500
11225,1968,803
11226,1968,72
11227,1968,158
11228,1969,2176
11229,1969,2220
11230,1969,273
11231,1969,2170
11232,1969,528
11233,1969,2221
11234,1970,1216
11235,1970,61
11236,1970,202
11237,1970,906
11238,1970,523
11239,1970,2222
11240,1971,242
11241,1971,2223
11242,1971,2224
11243,1971,51
11244,1972,1362
11245,1972,2146
11246,1972,400
11247,1972,543
11248,1972,2225
11249,1972,1480
11250,1973,2226
11251,1973,1130
11252,1973,1808
11253,1973,2227
11254,1974,164
11255,1974,122
11256,1974,15
11257,1974,659
